"","GEOID","tree_canopy_area","air_pollution","svi_index","holc_grade","has_covenant"
"1","27053000101",27.7,1.54636689325909,1,"D","1"
"2","27053000102",31.5,1.66098507793679,1,"D","1"
"3","27053000300",36.8,0.2322054107,1,"B","1"
"4","27053000601",28.6,1.89022144729219,1,"B","1"
"5","27053000603",37.8,1.89022144729219,0,"B","1"
"6","27053001100",37.9,1.89022144729219,1,"C","0"
"7","27053001700",28.2,2.16844769635656,1,"D","0"
"8","27053002200",35.7,3.31040949126804,1,"C","0"
"9","27053002400",30.7,2.16844769635656,1,"D","0"
"10","27053002700",26.1,3.31040949126804,1,"B","1"
"11","27053003200",34.1,4.90442634692434,1,"A","1"
"12","27053003300",30.3,4.90442634692434,1,"C","0"
"13","27053003801",23.6,0.148389799945702,1,"C","0"
"14","27053003802",26.2,0.950922953089862,1,"C","0"
"15","27053005901",13.3,0.278150110754057,1,"D","0"
"16","27053005902",16.5,0.600408235905814,1,"D","0"
"17","27053006800",28.4,2.37348581877839,1,"B","0"
"18","27053007700",15.2,0.264901352172414,1,"C","0"
"19","27053007801",19.6,0.432654794039114,1,"D","0"
"20","27053008100",31.5,0.264901352172414,1,"B","1"
"21","27053008200",25.5,0.264901352172414,1,"B","0"
"22","27053008300",20.6,0.264901352172414,1,"B","0"
"23","27053008400",27.2,3.35637752255287,1,"C","0"
"24","27053008500",29.6,6.44785369293333,1,"B","0"
"25","27053009500",27.9,6.44785369293333,1,"B","1"
"26","27053009600",32.9,6.44785369293333,1,"B","1"
"27","27053010600",45,1.0131382600131,0,"A","0"
"28","27053010700",44.8,1.0131382600131,1,"A","1"
"29","27053011000",32.5,3.28692377403485,1,"B","1"
"30","27053011703",39.6,3.28692377403485,0,"A","1"
"31","27053011704",35.6,0.160281151391711,0,"A","1"
"32","27053011800",38.1,2.62237133766426,0,"B","1"
"33","27053011998",38.7,0.70963016002972,1,"B","1"
"34","27053012003",23.4,0.782279607603204,1,"A","1"
"35","27053012101",27.2,0.125993855136364,1,"C","1"
"36","27053012102",28.5,0.125993855136364,0,"C","1"
"37","27053100200",34,1.54636689325909,1,"B","1"
"38","27053100400",24.3,1.66098507793679,1,"C","0"
"39","27053100500",15.8,2.0733411812696,1,"D","0"
"40","27053100700",38.4,1.77130745098402,1,"B","1"
"41","27053100800",35.9,1.77130745098402,1,"B","0"
"42","27053100900",27.5,1.81094544975341,1,"C","1"
"43","27053101200",34,1.59746679890081,1,"B","1"
"44","27053101300",31.1,1.77130745098402,1,"B","0"
"45","27053101600",25,1.77130745098402,1,"C","1"
"46","27053101800",26.3,1.59746679890081,1,"D","0"
"47","27053101900",31.4,1.59746679890081,1,"C","0"
"48","27053102000",36.2,3.31040949126804,1,"B","1"
"49","27053102100",32.6,3.31040949126804,1,"C","0"
"50","27053102500",23.7,1.59746679890081,1,"C","0"
"51","27053102600",20,1.14124436943187,1,"D","0"
"52","27053102800",33.4,3.31040949126804,1,"C","0"
"53","27053103000",24.7,1.5427895736228,1,"D","0"
"54","27053103100",25.7,0.766755830501707,1,"D","0"
"55","27053103400",10.5,4.90442634692434,1,"D","0"
"56","27053103600",28.5,0.515586246698108,1,"D","0"
"57","27053103700",24.3,0.403684707372938,1,"D","0"
"58","27053103900",16.4,1.39239438493608,1,"C","0"
"59","27053104001",18.9,0.228799510493976,0,"C","0"
"60","27053104002",12.8,0.766755830501707,1,"C","1"
"61","27053104100",27.2,4.90442634692434,1,"C","0"
"62","27053104801",10.8,0.278150110754057,1,"D","0"
"63","27053104802",23.6,0.847609897910088,1,"D","0"
"64","27053104901",19.6,0.950922953089862,1,"C","0"
"65","27053104902",22.8,1.39239438493608,1,"C","0"
"66","27053105100",47.4,2.32662794386383,0,"B","1"
"67","27053105201",20.7,0.0216060178487179,1,"D","0"
"68","27053105204",7.3,0.311007126877266,1,"D","0"
"69","27053105400",8.5,0.383235121432371,1,"D","0"
"70","27053105500",33.3,3.26002461021468,0,"B","0"
"71","27053105600",21.6,2.37348581877839,1,"B","0"
"72","27053105700",15.4,0.311007126877266,1,"C","0"
"73","27053106000",18.9,0.334194162651621,1,"D","0"
"74","27053106200",24.8,0.65388493007544,1,"D","0"
"75","27053106400",43.2,1.03650883104817,1,"B","0"
"76","27053106500",48.3,1.81119629594097,0,"B","1"
"77","27053106600",36.2,2.40772638863839,1,"B","0"
"78","27053106700",26,2.26165019086726,1,"C","0"
"79","27053106900",24.5,0.295638535308982,1,"C","0"
"80","27053107000",23.7,2.45458426355296,1,"B","0"
"81","27053107400",27.9,1.29326646492308,1,"C","1"
"82","27053107500",29.1,2.14258197606405,1,"D","1"
"83","27053107600",48.7,0.761032987708526,1,"B","1"
"84","27053108000",32.8,0.362367981667268,0,"B","1"
"85","27053108600",30.6,6.44785369293333,1,"B","0"
"86","27053108700",27.7,3.8705600789282,1,"B","1"
"87","27053108800",28.5,3.8705600789282,1,"C","1"
"88","27053108900",39.1,1.29326646492308,1,"B","1"
"89","27053109000",53.9,1.29326646492308,0,"B","1"
"90","27053109100",36.4,0.241578654444845,0,"A","0"
"91","27053109200",32.9,0.132450676086207,1,"B","1"
"92","27053109300",32.4,0.132450676086207,1,"B","1"
"93","27053109400",22.2,2.23758501503525,1,"C","1"
"94","27053109700",31.9,6.44785369293333,1,"B","1"
"95","27053109800",42.5,0.229917305581061,0,"A","1"
"96","27053109900",42.6,0.763725957399535,1,"B","1"
"97","27053110000",28.9,3.22392684646667,1,"C","1"
"98","27053110100",30.7,6.44785369293333,0,"B","1"
"99","27053110200",29.9,3.8705600789282,1,"B","1"
"100","27053110400",31.4,1.29326646492308,1,"C","1"
"101","27053110500",45.3,0.70963016002972,1,"B","1"
"102","27053110800",35.4,1.0131382600131,1,"A","1"
"103","27053110900",31,2.15003101702397,1,"B","1"
"104","27053111100",32.8,2.62237133766426,1,"B","1"
"105","27053111200",36.1,0,0,"B","1"
"106","27053111300",43.9,1.0131382600131,0,"A","1"
"107","27053111400",45.3,2.02627652002619,0,"A","1"
"108","27053111500",41.2,2.02627652002619,1,"A","1"
"109","27053111600",41.1,2.86670802269863,0,"A","1"
"110","27053125600",31.4,1.35935174493174,1,"C","0"
"111","27053125700",30.7,1.77130745098402,1,"C","0"
"112","27053125800",24.2,3.52413096441957,1,"C","0"
"113","27053125900",23.9,2.78050946458741,1,"C","0"
"114","27053126000",18.4,2.43772109367052,1,"C","1"
"115","27053126201",4.1,2.46092644769708,1,"D","0"
"116","27053126300",17.3,1.5427895736228,1,"D","0"
